gisaid_epi_isl,division,location,pangolin_lineage,date_submitted
EPI_ISL_16635633,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635654,Zhejiang,Jiaxing,DY.3,2023-01-24
EPI_ISL_16635656,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635663,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635638,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635648,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635649,Zhejiang,Hangzhou,BQ.1.1,2023-01-24
EPI_ISL_16635658,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635639,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635644,Zhejiang,Jinhua,DY.4,2023-01-24
EPI_ISL_16635659,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635665,Zhejiang,Huzhou,DY.4,2023-01-24
EPI_ISL_16635642,Zhejiang,Jinhua,DZ.2,2023-01-24
EPI_ISL_16635643,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635646,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635647,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635650,Zhejiang,Jiaxing,BA.5.2.49,2023-01-24
EPI_ISL_16635651,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635652,Zhejiang,Jiaxing,BA.5.2.48,2023-01-24
EPI_ISL_16635653,Zhejiang,Jiaxing,BF.7.14.3,2023-01-24
EPI_ISL_16635655,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635660,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635661,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635662,Zhejiang,Jinhua,BA.5.2.48,2023-01-24
EPI_ISL_16635664,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635666,Zhejiang,Huzhou,DY.4,2023-01-24
EPI_ISL_16635667,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635668,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635669,Zhejiang,Huzhou,BF.7.14,2023-01-24
EPI_ISL_16635671,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635670,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635672,Zhejiang,Quzhou,BA.5.2.49,2023-01-24
EPI_ISL_16635680,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635673,Zhejiang,Quzhou,DY.4,2023-01-24
EPI_ISL_16635674,Zhejiang,Quzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635675,Zhejiang,Quzhou,BF.7.14.6,2023-01-24
EPI_ISL_16635676,Zhejiang,Quzhou,DY.4,2023-01-24
EPI_ISL_16635677,Zhejiang,Quzhou,DY.4,2023-01-24
EPI_ISL_16635678,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635679,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635681,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635682,Zhejiang,Jinhua,BF.7.14.1,2023-01-24
EPI_ISL_16635683,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635684,Zhejiang,Jinhua,DY.4,2023-01-24
EPI_ISL_16635685,Zhejiang,Jinhua,DY.1,2023-01-24
EPI_ISL_16635686,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635687,Zhejiang,Jinhua,DY.4,2023-01-24
EPI_ISL_16635688,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635689,Zhejiang,Jinhua,BF.7.14.1,2023-01-24
EPI_ISL_16635690,Zhejiang,Jinhua,BF.7.14,2023-01-24
EPI_ISL_16635691,Zhejiang,Jinhua,BA.5.2.49,2023-01-24
EPI_ISL_16635692,Zhejiang,Jinhua,BF.7.14.1,2023-01-24
EPI_ISL_16635694,Zhejiang,Jinhua,DY.1,2023-01-24
EPI_ISL_16635695,Zhejiang,Jinhua,DY.2,2023-01-24
EPI_ISL_16635696,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635713,Zhejiang,Hangzhou,DY.1,2023-01-24
EPI_ISL_16635697,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635698,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635699,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635700,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635701,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635702,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635718,Zhejiang,Huzhou,DY.4,2023-01-24
EPI_ISL_16635703,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635704,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635705,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635706,Zhejiang,Hangzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635707,Zhejiang,Hangzhou,DY.1,2023-01-24
EPI_ISL_16635708,Zhejiang,Hangzhou,BF.7.14.4,2023-01-24
EPI_ISL_16635709,Zhejiang,Hangzhou,BF.7.14.4,2023-01-24
EPI_ISL_16635722,Zhejiang,Ningbo,BA.5.2.49,2023-01-24
EPI_ISL_16635710,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635711,Zhejiang,Hangzhou,DY.1,2023-01-24
EPI_ISL_16635712,Zhejiang,Hangzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635714,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635715,Zhejiang,Huzhou,DY.4,2023-01-24
EPI_ISL_16635716,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635717,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635719,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635720,Zhejiang,Huzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635730,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635721,Zhejiang,Quzhou,BQ.1.2,2023-01-24
EPI_ISL_16635734,Zhejiang,Hangzhou,BF.7.14.6,2023-01-24
EPI_ISL_16635738,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635723,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635737,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635724,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635727,Zhejiang,Ningbo,BF.7.14,2023-01-24
EPI_ISL_16635725,Zhejiang,Ningbo,DY.1,2023-01-24
EPI_ISL_16635733,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635726,Zhejiang,Ningbo,BF.7.14.4,2023-01-24
EPI_ISL_16635728,Zhejiang,Ningbo,BA.5.2.48,2023-01-24
EPI_ISL_16635739,Zhejiang,Hangzhou,DY.1,2023-01-24
EPI_ISL_16635729,Zhejiang,Ningbo,BA.5.2.48,2023-01-24
EPI_ISL_16635736,Zhejiang,Hangzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635731,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635735,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635732,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635742,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635740,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635741,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635759,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635763,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635743,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635762,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635770,Zhejiang,Quzhou,DZ.1,2023-01-24
EPI_ISL_16635774,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635744,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635746,Zhejiang,Hangzhou,BA.5.1.32,2023-01-24
EPI_ISL_16635751,Zhejiang,Hangzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635745,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635747,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635752,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635766,Zhejiang,Jiaxing,DY.1,2023-01-24
EPI_ISL_16635748,Zhejiang,Hangzhou,BA.5.1.32,2023-01-24
EPI_ISL_16635756,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635757,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635760,Zhejiang,Jiaxing,BA.5.2.48,2023-01-24
EPI_ISL_16635749,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635764,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635776,Zhejiang,Quzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635777,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635750,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635758,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635761,Zhejiang,Jiaxing,DY.1,2023-01-24
EPI_ISL_16635753,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635754,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635755,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635765,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635767,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635768,Zhejiang,Quzhou,DY.2,2023-01-24
EPI_ISL_16635769,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635771,Zhejiang,Quzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635784,Zhejiang,Quzhou,DY.2,2023-01-24
EPI_ISL_16635772,Zhejiang,Quzhou,DY.4,2023-01-24
EPI_ISL_16635773,Zhejiang,Quzhou,DY.4,2023-01-24
EPI_ISL_16635775,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635778,Zhejiang,Quzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635779,Zhejiang,Quzhou,DY.2,2023-01-24
EPI_ISL_16635785,Zhejiang,Quzhou,DY.4,2023-01-24
EPI_ISL_16635780,Zhejiang,Quzhou,DY.2,2023-01-24
EPI_ISL_16635781,Zhejiang,Quzhou,BF.7.14,2023-01-24
EPI_ISL_16635782,Zhejiang,Quzhou,DY.3,2023-01-24
EPI_ISL_16635783,Zhejiang,Quzhou,BA.5.2.48,2023-01-24
EPI_ISL_16635786,Zhejiang,Ningbo,BA.5.2.48,2023-01-24
EPI_ISL_16635787,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635788,Zhejiang,Ningbo,BA.5.2.48,2023-01-24
EPI_ISL_16635789,Zhejiang,Ningbo,BA.5.2.48,2023-01-24
EPI_ISL_16635790,Zhejiang,Ningbo,BA.5.2.48,2023-01-24
EPI_ISL_16635791,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635804,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635792,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635793,Zhejiang,Ningbo,DY.2,2023-01-24
EPI_ISL_16635794,Zhejiang,Ningbo,DY.2,2023-01-24
EPI_ISL_16635795,Zhejiang,Ningbo,DY.1,2023-01-24
EPI_ISL_16635796,Zhejiang,Ningbo,DY.1,2023-01-24
EPI_ISL_16635797,Zhejiang,Ningbo,BF.7.14,2023-01-24
EPI_ISL_16635798,Zhejiang,Ningbo,DY.2,2023-01-24
EPI_ISL_16635799,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635800,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635801,Zhejiang,Ningbo,DY.1,2023-01-24
EPI_ISL_16635802,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635803,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635805,Zhejiang,Ningbo,DY.4,2023-01-24
EPI_ISL_16635806,Zhejiang,Ningbo,BF.7.14,2023-01-24
EPI_ISL_16635807,Zhejiang,Ningbo,DY.1,2023-01-24
EPI_ISL_16635808,Zhejiang,Ningbo,DY.2,2023-01-24
EPI_ISL_16635809,Zhejiang,Ningbo,BF.7.14,2023-01-24
EPI_ISL_16635810,Zhejiang,Ningbo,BF.7.14,2023-01-24
EPI_ISL_16635811,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635812,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635813,Zhejiang,Hangzhou,DY.3,2023-01-24
EPI_ISL_16635814,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635815,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635825,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635816,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635828,Zhejiang,Jiaxing,DY.4,2023-01-24
EPI_ISL_16635817,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635818,Zhejiang,Hangzhou,DY.2,2023-01-24
EPI_ISL_16635819,Zhejiang,Hangzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635820,Zhejiang,Hangzhou,BF.7.14,2023-01-24
EPI_ISL_16635821,Zhejiang,Hangzhou,BF.7.14.5,2023-01-24
EPI_ISL_16635822,Zhejiang,Hangzhou,DY.4,2023-01-24
EPI_ISL_16635823,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635824,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635827,Zhejiang,Jiaxing,DY.4,2023-01-24
EPI_ISL_16635826,Zhejiang,Jiaxing,BA.5.2.49,2023-01-24
EPI_ISL_16635829,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635830,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635831,Zhejiang,Jiaxing,DY.4,2023-01-24
EPI_ISL_16635832,Zhejiang,Jiaxing,DY.4,2023-01-24
EPI_ISL_16635833,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635834,Zhejiang,Jiaxing,BF.7.14,2023-01-24
EPI_ISL_16635835,Zhejiang,Jiaxing,BA.5.2.49,2023-01-24
EPI_ISL_16635836,Zhejiang,Jiaxing,BA.5.2.48,2023-01-24
EPI_ISL_16635837,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635838,Zhejiang,Jiaxing,DZ.1,2023-01-24
EPI_ISL_16635839,Zhejiang,Jiaxing,DY.4,2023-01-24
EPI_ISL_16635840,Zhejiang,Jiaxing,DY.2,2023-01-24
EPI_ISL_16635853,Xinjiang,Heshuo,DY.1,2023-01-24
EPI_ISL_16635841,Zhejiang,Jiaxing,BA.5.2.48,2023-01-24
EPI_ISL_16635842,Zhejiang,Jiaxing,BA.5.2.49,2023-01-24
EPI_ISL_16635843,Zhejiang,Jiaxing,DY.4,2023-01-24
EPI_ISL_16635844,Zhejiang,Jiaxing,BF.7.14.5,2023-01-24
EPI_ISL_16635845,Xinjiang,Yuli,DY.1,2023-01-24
EPI_ISL_16635846,Xinjiang,Qiemo,DY.1,2023-01-24
EPI_ISL_16635847,Xinjiang,Luntai,DY.1,2023-01-24
EPI_ISL_16635848,Xinjiang,Luntai,DY.1,2023-01-24
EPI_ISL_16635849,Xinjiang,Ruoqiang,BF.7.14,2023-01-24
EPI_ISL_16635850,Xinjiang,Ruoqiang,DY.1,2023-01-24
EPI_ISL_16635851,Xinjiang,Ruoqiang,BA.5.2,2023-01-24
EPI_ISL_16635858,Xinjiang,Korla,BF.7.14.1,2023-01-24
EPI_ISL_16635852,Xinjiang,Heshuo,BA.5.2.48,2023-01-24
EPI_ISL_16635854,Xinjiang,Yanqi,DY.4,2023-01-24
EPI_ISL_16635855,Xinjiang,Bohu,DY.1,2023-01-24
EPI_ISL_16635856,Xinjiang,Bohu,DY.4,2023-01-24
EPI_ISL_16635857,Xinjiang,Korla,BF.7.14,2023-01-24
EPI_ISL_16635859,Xinjiang,Hejing,DY.1,2023-01-24
EPI_ISL_16635860,Xinjiang,Yuli,DY.1,2023-01-24
EPI_ISL_16635871,Xinjiang,Heshuo,BA.5.2.48,2023-01-24
EPI_ISL_16635861,Xinjiang,Korla,BA.5.2.49,2023-01-24
EPI_ISL_16635862,Xinjiang,Korla,BF.7.14,2023-01-24
EPI_ISL_16635863,Xinjiang,Korla,DY.1,2023-01-24
EPI_ISL_16635864,Xinjiang,Korla,DY.1,2023-01-24
EPI_ISL_16635865,Xinjiang,Korla,DY.1,2023-01-24
EPI_ISL_16635866,Xinjiang,Ruoqiang,BF.7.14.4,2023-01-24
EPI_ISL_16635867,Xinjiang,Ruoqiang,DY.1,2023-01-24
EPI_ISL_16635868,Xinjiang,Ruoqiang,DY.1,2023-01-24
EPI_ISL_16635869,Xinjiang,Luntai,DY.1,2023-01-24
EPI_ISL_16635870,Xinjiang,Luntai,BF.7.14,2023-01-24
EPI_ISL_16635872,Xinjiang,Heshuo,DY.1,2023-01-24
EPI_ISL_16635873,Xinjiang,Korla,DY.4,2023-01-24
EPI_ISL_16635874,Xinjiang,Korla,DY.1,2023-01-24
EPI_ISL_16635875,Xinjiang,Yuli,DY.1,2023-01-24
EPI_ISL_16635876,Xinjiang,Yuli,DY.1,2023-01-24
EPI_ISL_16635877,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635878,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635879,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635896,Xinjiang,Urumchi,BF.7.14.4,2023-01-24
EPI_ISL_16635880,Xinjiang,Kumul,DY.4,2023-01-24
EPI_ISL_16635881,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635882,Xinjiang,Kumul,BA.5.2.48,2023-01-24
EPI_ISL_16635883,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635884,Xinjiang,Kumul,DY.2,2023-01-24
EPI_ISL_16635885,Xinjiang,Kumul,DY.4,2023-01-24
EPI_ISL_16635886,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635887,Xinjiang,Kumul,BA.5.2.50,2023-01-24
EPI_ISL_16635888,Xinjiang,Kumul,BA.5.2.49,2023-01-24
EPI_ISL_16635890,Xinjiang,Kumul,BA.5.2.48,2023-01-24
EPI_ISL_16635889,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635895,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635891,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635892,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635893,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635894,Xinjiang,Urumchi,DY.4,2023-01-24
EPI_ISL_16635903,Xinjiang,Urumchi,BA.5.2.49,2023-01-24
EPI_ISL_16635897,Xinjiang,Urumchi,DY.4,2023-01-24
EPI_ISL_16635898,Xinjiang,Urumchi,DY.4,2023-01-24
EPI_ISL_16635899,Xinjiang,Urumchi,DY.1,2023-01-24
EPI_ISL_16635900,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635901,Xinjiang,Urumchi,DY.1,2023-01-24
EPI_ISL_16635914,Xinjiang,Urumchi,BA.5.2.49,2023-01-24
EPI_ISL_16635902,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635904,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635905,Xinjiang,Bozhou,BA.5.2.50,2023-01-24
EPI_ISL_16635906,Xinjiang,Urumchi,BF.7.14,2023-01-24
EPI_ISL_16635907,Xinjiang,Urumchi,DY.4,2023-01-24
EPI_ISL_16635908,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635909,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635910,Xinjiang,Urumchi,BA.5.2.48,2023-01-24
EPI_ISL_16635911,Xinjiang,Urumchi,DY.4,2023-01-24
EPI_ISL_16635912,Xinjiang,Tacheng,BF.7.14,2023-01-24
EPI_ISL_16635913,Xinjiang,Bozhou,BA.5.2.48,2023-01-24
EPI_ISL_16635915,Xinjiang,Urumchi,DY.1,2023-01-24
EPI_ISL_16635916,Xinjiang,Tacheng,BA.5.2.48,2023-01-24
EPI_ISL_16635917,Xinjiang,Karamay City,BA.5.2.50,2023-01-24
EPI_ISL_16635918,Xinjiang,Karamay City,BA.5.2.48,2023-01-24
EPI_ISL_16635919,Xinjiang,Karamay City,BA.5.2.50,2023-01-24
EPI_ISL_16635920,Xinjiang,Karamay City,BA.5.2.48,2023-01-24
EPI_ISL_16635921,Xinjiang,Karamay City,DY.2,2023-01-24
EPI_ISL_16635922,Xinjiang,Karamay City,BA.5.2.48,2023-01-24
EPI_ISL_16635923,Xinjiang,Karamay City,DY.1,2023-01-24
EPI_ISL_16635924,Xinjiang,Karamay City,BA.5.2.48,2023-01-24
EPI_ISL_16635925,Xinjiang,Karamay City,BA.5.2.48,2023-01-24
EPI_ISL_16635926,Xinjiang,Karamay City,BA.5.2.50,2023-01-24
EPI_ISL_16635927,Xinjiang,Kashi Prefecture,DY.2,2023-01-24
EPI_ISL_16635928,Xinjiang,Kashi Prefecture,BA.5.2.48,2023-01-24
EPI_ISL_16635929,Xinjiang,Kashi Prefecture,BA.5.2.48,2023-01-24
EPI_ISL_16635930,Xinjiang,Kashi Prefecture,BA.5.2.49,2023-01-24
EPI_ISL_16635931,Xinjiang,Kashi Prefecture,BA.5.2.48,2023-01-24
EPI_ISL_16635932,Xinjiang,Kashi Prefecture,BA.5.2.48,2023-01-24
EPI_ISL_16635933,Xinjiang,Kashi Prefecture,BA.5.2.48,2023-01-24
EPI_ISL_16635934,Xinjiang,Yining,BA.5.2.50,2023-01-24
EPI_ISL_16635935,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635936,Xinjiang,Yining,BA.5.2.50,2023-01-24
EPI_ISL_16635937,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635938,Xinjiang,Yining,DY.2,2023-01-24
EPI_ISL_16635939,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635940,Xinjiang,Yining,DY.1,2023-01-24
EPI_ISL_16635964,Xinjiang,Bayingolin,DY.1,2023-01-24
EPI_ISL_16635941,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635942,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635943,Xinjiang,Yining,BA.5.2.50,2023-01-24
EPI_ISL_16635944,Xinjiang,Yining,DY.1,2023-01-24
EPI_ISL_16635945,Xinjiang,Yining,BA.5.2.49,2023-01-24
EPI_ISL_16635946,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635947,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635948,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635949,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635950,Xinjiang,Yining,BA.5.2.48,2023-01-24
EPI_ISL_16635951,Xinjiang,Yining,BA.5.2.49,2023-01-24
EPI_ISL_16635958,Xinjiang,Bayingolin,DY.1,2023-01-24
EPI_ISL_16635952,Xinjiang,Yining,BA.5.2.49,2023-01-24
EPI_ISL_16635953,Xinjiang,Yining,BA.5.2.50,2023-01-24
EPI_ISL_16635954,Xinjiang,Bayingolin,BA.5.2.48,2023-01-24
EPI_ISL_16635956,Xinjiang,Bayingolin,BF.7.14,2023-01-24
EPI_ISL_16635957,Xinjiang,Bayingolin,DY.4,2023-01-24
EPI_ISL_16635959,Xinjiang,Bayingolin,DY.1,2023-01-24
EPI_ISL_16635960,Xinjiang,Bayingolin,BA.5.2.48,2023-01-24
EPI_ISL_16635961,Xinjiang,Bayingolin,BF.7.14,2023-01-24
EPI_ISL_16635962,Xinjiang,Bayingolin,DY.1,2023-01-24
EPI_ISL_16635963,Xinjiang,Bayingolin,DY.1,2023-01-24
EPI_ISL_16635965,Xinjiang,Kumul,DY.1,2023-01-24
EPI_ISL_16635966,Xinjiang,Kumul,BA.5.2.48,2023-01-24
EPI_ISL_16635967,Xinjiang,Kumul,BA.5.2.48,2023-01-24
EPI_ISL_16635971,Xinjiang,Tacheng,BA.5.2.48,2023-01-24
EPI_ISL_16635968,Xinjiang,Kumul,BA.5.2.48,2023-01-24
EPI_ISL_16635969,Xinjiang,Kumul,BF.7.14,2023-01-24
EPI_ISL_16635970,Xinjiang,Tacheng,BA.5.2.49,2023-01-24
EPI_ISL_16635972,Shanghai,Songjiang,DY.1.1,2023-01-24
EPI_ISL_16635973,Shanghai,Songjiang,BF.7.14,2023-01-24
EPI_ISL_16635974,Shanghai,Songjiang,DY.2,2023-01-24
EPI_ISL_16635975,Shanghai,Songjiang,DY.2,2023-01-24
EPI_ISL_16635976,Shanghai,Songjiang,BF.7.14,2023-01-24
EPI_ISL_16635977,Shanghai,Jinshan,BF.7.14.6,2023-01-24
EPI_ISL_16635978,Shanghai,Jinshan,BA.5.2.48,2023-01-24
EPI_ISL_16635979,Shanghai,Jinshan,BQ.1.2,2023-01-24
EPI_ISL_16635980,Shanghai,Jinshan,DY.1,2023-01-24
EPI_ISL_16635981,Shanghai,Jinshan,DY.2,2023-01-24
EPI_ISL_16635982,Shanghai,Jinshan,BF.7.14,2023-01-24
EPI_ISL_16635983,Shanghai,Jinshan,BF.7.14.6,2023-01-24
EPI_ISL_16635984,Shanghai,Jinshan,DY.2,2023-01-24
EPI_ISL_16635985,Shanghai,Jinshan,BF.7.14,2023-01-24
EPI_ISL_16635986,Shanghai,Jinshan,BA.5.2,2023-01-24
EPI_ISL_16635987,Shanghai,Jinshan,DY.2,2023-01-24
EPI_ISL_16635988,Shanghai,Jinshan,BQ.1.1.66,2023-01-24
EPI_ISL_16635989,Shanghai,Jinshan,DY.2,2023-01-24
EPI_ISL_16635990,Shanghai,Songjiang,DY.4,2023-01-24
EPI_ISL_16635991,Shanghai,Minhang,DY.4,2023-01-24
EPI_ISL_16635992,Shanghai,Minhang,DY.1,2023-01-24
EPI_ISL_16635993,Shanghai,Minhang,BF.7.14,2023-01-24
EPI_ISL_16635994,Shanghai,Minhang,DY.2,2023-01-24
EPI_ISL_16635995,Shanghai,Minhang,DY.2,2023-01-24
EPI_ISL_16635996,Shanghai,Minhang,BF.7.14,2023-01-24
EPI_ISL_16635997,Shanghai,Minhang,BF.7.14,2023-01-24
EPI_ISL_16635998,Shanghai,Minhang,BF.7.14,2023-01-24
EPI_ISL_16635999,Shanghai,Minhang,DY.2,2023-01-24
EPI_ISL_16636000,Shanghai,Minhang,DY.1,2023-01-24
EPI_ISL_16636001,Shanghai,Minhang,DY.4,2023-01-24
EPI_ISL_16636002,Shanghai,Minhang,DY.2,2023-01-24
